Fecha,2015,2016,2017,2018,2019,2020,2021,2022,INE2018
2020-05-24,970.43,1042.87,1175.57,1168.11,1128.27,1098.95,1048.17,1280.55,1172
2020-05-25,1070.19,1114.66,1171.16,1116.23,1049.37,1078.85,983.95,1113.2,1172
2020-05-26,1020.8,1064.08,1125.32,1079.94,1058.58,1090.57,1090.51,1202.94,1172
2020-05-27,981.25,1155.93,1078.58,1009.75,1082.59,1117.79,1098.26,1202.96,1172
2020-05-28,1010.07,1023.17,1051.68,1094.81,1123.44,1099.86,1076.39,1146.59,1172
2020-05-29,1062.27,979.62,1078.57,1073.08,1138.87,1132.57,1111.56,1102.5,1172
2020-05-30,1044.93,1018.86,1077.22,1092.01,1083.57,1133.03,1066.6,1087.79,1172
2020-05-31,1020.06,1020.94,1056.87,1057.31,1163.43,1030.35,1136.44,1205.89,1172
2020-06-01,1044.93,1098.51,1008.06,1134.21,1135.76,1058.07,1109.65,1256.27,1172
2020-06-02,1024.55,1090.48,1040.31,997.46,1043.49,1071.24,1146.74,1229.86,1172
2020-06-03,1127.37,1110.34,1024.29,1000.12,1090.03,1052.15,1048.79,1204.72,1172
2020-06-04,1080.44,1030.76,955.25,959.96,1182.79,1075.84,1072.86,1153.98,1172
2020-06-05,1070.5,1019.98,939.15,1104.68,1122.6,1027.72,994.74,1052.31,1172
2020-06-06,1054.03,1060,983.13,1012.65,1147.09,967.87,968.72,1044.61,1172
2020-06-07,1083,1076.45,999.52,1052.16,1076,914.07,1042.29,1205.52,1172
2020-06-08,1049.84,1130.88,1083.68,1037.67,1054.82,938.25,1062.73,1223.52,1172
2020-06-09,1098.43,1116.58,1105.65,1103.47,972.64,969.86,1089.64,1257.35,1172
2020-06-10,1084.12,1176.85,1031.89,957.81,992.3,1034.97,1164.88,1242.25,1172
2020-06-11,1066.84,1131.93,1028.79,1034.44,1043.26,982.77,1165.63,1201.6,1172
2020-06-12,1024.07,1011.25,1050.95,1010.65,1013.46,1090.18,1111.95,1070.06,1172
2020-06-13,1045.83,1087.46,1146.84,1064.06,1014.73,973.7,1147.51,1183.99,1172
2020-06-14,938.37,1084.72,1113.96,1042.41,1101.81,893.78,1140.05,1285.67,1172
2020-06-15,960.67,1042.4,1119.52,1126.72,1082.16,1015.53,1178.6,1285.7,1172
2020-06-16,955.68,1043.96,1170.89,1029.42,924.63,1020.85,1232.78,1423.58,1172
2020-06-17,990.25,1027.05,1171.36,985.91,1008.98,1006.69,1204.49,1423.59,1172
