Fecha,2022,2021,2020,2019,2018
2020-12-19,,1301.48,1311.47,1218.7,1231.11
2020-12-20,,1398.72,1300.45,1347.72,1293.24
2020-12-21,,1448.64,1255.96,1271.03,1222.57
2020-12-22,,1411.34,1336.43,1158.5,1269.98
2020-12-23,,1489.03,1397.18,1212.56,1237.85
2020-12-24,,1419.85,1299.72,1262.08,1194.46
2020-12-25,,1358.01,1317.66,1204.92,1189.2
2020-12-26,,1363.29,1274.01,1176.09,1244.68
2020-12-27,,1413,1264.02,1271.87,1308.81
2020-12-28,,1475.56,1342.15,1216.95,1342.48
2020-12-29,,1453.33,1356.73,1194.7,1307.27
2020-12-30,,1425.22,1404.1,1185.43,1230.52
2020-12-31,,1390.39,1418.84,1217.92,1181.88
2021-01-01,,,,
