Sexo;Comunidades y provincias;Edad (hasta 100 y más);Total
Ambos sexos;ARAGÓN;5-9;62.987
Ambos sexos;ARAGÓN;10-14;66.480
Ambos sexos;ARAGÓN;15-19;63.706
Ambos sexos;ARAGÓN;20-24;63.515
Ambos sexos;ARAGÓN;25-29;66.798
Ambos sexos;ARAGÓN;30-34;75.105
Ambos sexos;ARAGÓN;35-39;89.095
Ambos sexos;ARAGÓN;40-44;108.052
Ambos sexos;ARAGÓN;45-49;106.787
Ambos sexos;ARAGÓN;50-54;101.601
Ambos sexos;ARAGÓN;55-59;96.606
Ambos sexos;ARAGÓN;60-64;85.449
Ambos sexos;ARAGÓN;65-69;70.896
Ambos sexos;ARAGÓN;70-74;65.682
Ambos sexos;ARAGÓN;75-79;53.263
Ambos sexos;ARAGÓN;80-84;40.982
Ambos sexos;ARAGÓN;85-89;35.840
Ambos sexos;ARAGÓN;90-94;16.726
Ambos sexos;ARAGÓN;95-99;4.648
Ambos sexos;ARAGÓN;100 y más;614
Ambos sexos;Huesca;Total;222.442
Ambos sexos;Huesca;0-4;9.009
Ambos sexos;Huesca;5-9;10.194
Ambos sexos;Huesca;10-14;10.781
Ambos sexos;Huesca;15-19;10.292
Ambos sexos;Huesca;20-24;10.746
Ambos sexos;Huesca;25-29;10.973
Ambos sexos;Huesca;30-34;12.448
Ambos sexos;Huesca;35-39;14.755
Ambos sexos;Huesca;40-44;17.738
Ambos sexos;Huesca;45-49;17.223
Ambos sexos;Huesca;50-54;17.016
Ambos sexos;Huesca;55-59;16.575
Ambos sexos;Huesca;60-64;14.739
Ambos sexos;Huesca;65-69;11.969
Ambos sexos;Huesca;70-74;10.954
Ambos sexos;Huesca;75-79;8.659
Ambos sexos;Huesca;80-84;7.365
Ambos sexos;Huesca;85-89;6.609
Ambos sexos;Huesca;90-94;3.329
Ambos sexos;Huesca;95-99;924
Ambos sexos;Huesca;100 y más;144
Ambos sexos;Teruel;Total;134.065
Ambos sexos;Teruel;0-4;5.032
Ambos sexos;Teruel;5-9;6.011
Ambos sexos;Teruel;10-14;6.203
Ambos sexos;Teruel;15-19;6.189
Ambos sexos;Teruel;20-24;6.339
Ambos sexos;Teruel;25-29;6.883
Ambos sexos;Teruel;30-34;7.448
Ambos sexos;Teruel;35-39;8.417
Ambos sexos;Teruel;40-44;9.554
Ambos sexos;Teruel;45-49;9.734
Ambos sexos;Teruel;50-54;10.386
Ambos sexos;Teruel;55-59;10.512
Ambos sexos;Teruel;60-64;9.216
Ambos sexos;Teruel;65-69;7.282
Ambos sexos;Teruel;70-74;6.471
Ambos sexos;Teruel;75-79;5.623
Ambos sexos;Teruel;80-84;4.890
Ambos sexos;Teruel;85-89;4.836
Ambos sexos;Teruel;90-94;2.364
Ambos sexos;Teruel;95-99;595
Ambos sexos;Teruel;100 y más;80
Ambos sexos;Zaragoza;Total;972.246
Ambos sexos;Zaragoza;0-4;39.880
Ambos sexos;Zaragoza;5-9;46.782
Ambos sexos;Zaragoza;10-14;49.496
Ambos sexos;Zaragoza;15-19;47.225
Ambos sexos;Zaragoza;20-24;46.430
Ambos sexos;Zaragoza;25-29;48.942
Ambos sexos;Zaragoza;30-34;55.209
Ambos sexos;Zaragoza;35-39;65.923
Ambos sexos;Zaragoza;40-44;80.760
Ambos sexos;Zaragoza;45-49;79.830
Ambos sexos;Zaragoza;50-54;74.199
Ambos sexos;Zaragoza;55-59;69.519
Ambos sexos;Zaragoza;60-64;61.494
Ambos sexos;Zaragoza;65-69;51.645
Ambos sexos;Zaragoza;70-74;48.257
Ambos sexos;Zaragoza;75-79;38.981
Ambos sexos;Zaragoza;80-84;28.727
