Sexo;Edad (grupos quinquenales);Tipo de establecimiento colectivo;Total
Mujer;45-49;Instituciones religiosas;629
Mujer;45-49;Instituciones militares;32
Mujer;45-49;Instituciones penitenciarias;735
Mujer;45-49;Otros tipos de establecimientos colectivos;529
Mujer;50-54;Total;3.957
Mujer;50-54;Instituciones sanitarias;277
Mujer;50-54;Residencias de personas mayores;575
Mujer;50-54;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;1.764
Mujer;50-54;Instituciones religiosas;508
Mujer;50-54;Instituciones militares;18
Mujer;50-54;Instituciones penitenciarias;268
Mujer;50-54;Otros tipos de establecimientos colectivos;547
Mujer;55-59;Total;4.263
Mujer;55-59;Instituciones sanitarias;416
Mujer;55-59;Residencias de personas mayores;1.217
Mujer;55-59;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;1.522
Mujer;55-59;Instituciones religiosas;470
Mujer;55-59;Instituciones militares;2
Mujer;55-59;Instituciones penitenciarias;118
Mujer;55-59;Otros tipos de establecimientos colectivos;517
Mujer;60-64;Total;5.377
Mujer;60-64;Instituciones sanitarias;468
Mujer;60-64;Residencias de personas mayores;2.404
Mujer;60-64;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;1.224
Mujer;60-64;Instituciones religiosas;724
Mujer;60-64;Instituciones militares;9
Mujer;60-64;Instituciones penitenciarias;66
Mujer;60-64;Otros tipos de establecimientos colectivos;483
Mujer;65-69;Total;7.511
Mujer;65-69;Instituciones sanitarias;376
Mujer;65-69;Residencias de personas mayores;4.768
Mujer;65-69;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;717
Mujer;65-69;Instituciones religiosas;1.187
Mujer;65-69;Instituciones militares;6
Mujer;65-69;Instituciones penitenciarias;2
Mujer;65-69;Otros tipos de establecimientos colectivos;455
Mujer;70-74;Total;11.536
Mujer;70-74;Instituciones sanitarias;342
Mujer;70-74;Residencias de personas mayores;8.734
Mujer;70-74;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;436
Mujer;70-74;Instituciones religiosas;1.670
Mujer;70-74;Instituciones militares;3
Mujer;70-74;Instituciones penitenciarias;..
Mujer;70-74;Otros tipos de establecimientos colectivos;351
Mujer;75-79;Total;25.701
Mujer;75-79;Instituciones sanitarias;892
Mujer;75-79;Residencias de personas mayores;21.648
Mujer;75-79;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;416
Mujer;75-79;Instituciones religiosas;2.261
Mujer;75-79;Instituciones militares;4
Mujer;75-79;Instituciones penitenciarias;2
Mujer;75-79;Otros tipos de establecimientos colectivos;478
Mujer;80-84;Total;47.140
Mujer;80-84;Instituciones sanitarias;875
Mujer;80-84;Residencias de personas mayores;42.883
Mujer;80-84;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;462
Mujer;80-84;Instituciones religiosas;2.265
Mujer;80-84;Instituciones militares;..
Mujer;80-84;Instituciones penitenciarias;2
Mujer;80-84;Otros tipos de establecimientos colectivos;653
Mujer;85-89;Total;58.754
Mujer;85-89;Instituciones sanitarias;1.061
Mujer;85-89;Residencias de personas mayores;55.043
Mujer;85-89;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;328
Mujer;85-89;Instituciones religiosas;1.557
Mujer;85-89;Instituciones militares;3
Mujer;85-89;Instituciones penitenciarias;..
Mujer;85-89;Otros tipos de establecimientos colectivos;762
Mujer;90-94;Total;35.890
Mujer;90-94;Instituciones sanitarias;531
Mujer;90-94;Residencias de personas mayores;34.279
Mujer;90-94;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;130
Mujer;90-94;Instituciones religiosas;587
Mujer;90-94;Instituciones militares;1
Mujer;90-94;Instituciones penitenciarias;..
