Sexo;Comunidades y ciudades autónomas;Edad (año a año);Total
Ambos sexos;Asturias, Principado de;13 años;20
Ambos sexos;Asturias, Principado de;14 años;8
Ambos sexos;Asturias, Principado de;15 años;17
Ambos sexos;Asturias, Principado de;16 años;24
Ambos sexos;Asturias, Principado de;17 años;13
Ambos sexos;Asturias, Principado de;18 años;10
Ambos sexos;Asturias, Principado de;19 años;2
Ambos sexos;Asturias, Principado de;20 años;21
Ambos sexos;Asturias, Principado de;21 años;11
Ambos sexos;Asturias, Principado de;22 años;12
Ambos sexos;Asturias, Principado de;23 años;49
Ambos sexos;Asturias, Principado de;24 años;78
Ambos sexos;Asturias, Principado de;25 años;56
Ambos sexos;Asturias, Principado de;26 años;41
Ambos sexos;Asturias, Principado de;27 años;102
Ambos sexos;Asturias, Principado de;28 años;72
Ambos sexos;Asturias, Principado de;29 años;34
Ambos sexos;Asturias, Principado de;30 años;14
Ambos sexos;Asturias, Principado de;31 años;32
Ambos sexos;Asturias, Principado de;32 años;35
Ambos sexos;Asturias, Principado de;33 años;28
Ambos sexos;Asturias, Principado de;34 años;33
Ambos sexos;Asturias, Principado de;35 años;9
Ambos sexos;Asturias, Principado de;36 años;73
Ambos sexos;Asturias, Principado de;37 años;19
Ambos sexos;Asturias, Principado de;38 años;26
Ambos sexos;Asturias, Principado de;39 años;72
Ambos sexos;Asturias, Principado de;40 años;21
Ambos sexos;Asturias, Principado de;41 años;20
Ambos sexos;Asturias, Principado de;42 años;45
Ambos sexos;Asturias, Principado de;43 años;84
Ambos sexos;Asturias, Principado de;44 años;17
Ambos sexos;Asturias, Principado de;45 años;19
Ambos sexos;Asturias, Principado de;46 años;83
Ambos sexos;Asturias, Principado de;47 años;41
Ambos sexos;Asturias, Principado de;48 años;46
Ambos sexos;Asturias, Principado de;49 años;81
Ambos sexos;Asturias, Principado de;50 años;29
Ambos sexos;Asturias, Principado de;51 años;42
Ambos sexos;Asturias, Principado de;52 años;50
Ambos sexos;Asturias, Principado de;53 años;53
Ambos sexos;Asturias, Principado de;54 años;51
Ambos sexos;Asturias, Principado de;55 años;52
Ambos sexos;Asturias, Principado de;56 años;54
Ambos sexos;Asturias, Principado de;57 años;43
Ambos sexos;Asturias, Principado de;58 años;27
Ambos sexos;Asturias, Principado de;59 años;46
Ambos sexos;Asturias, Principado de;60 años;91
Ambos sexos;Asturias, Principado de;61 años;76
Ambos sexos;Asturias, Principado de;62 años;35
Ambos sexos;Asturias, Principado de;63 años;67
Ambos sexos;Asturias, Principado de;64 años;59
Ambos sexos;Asturias, Principado de;65 años;63
Ambos sexos;Asturias, Principado de;66 años;106
Ambos sexos;Asturias, Principado de;67 años;84
Ambos sexos;Asturias, Principado de;68 años;59
Ambos sexos;Asturias, Principado de;69 años;81
Ambos sexos;Asturias, Principado de;70 años;160
Ambos sexos;Asturias, Principado de;71 años;73
Ambos sexos;Asturias, Principado de;72 años;76
Ambos sexos;Asturias, Principado de;73 años;111
Ambos sexos;Asturias, Principado de;74 años;135
Ambos sexos;Asturias, Principado de;75 años;196
Ambos sexos;Asturias, Principado de;76 años;226
Ambos sexos;Asturias, Principado de;77 años;234
Ambos sexos;Asturias, Principado de;78 años;249
Ambos sexos;Asturias, Principado de;79 años;323
Ambos sexos;Asturias, Principado de;80 años;327
Ambos sexos;Asturias, Principado de;81 años;478
Ambos sexos;Asturias, Principado de;82 años;506
Ambos sexos;Asturias, Principado de;83 años;487
Ambos sexos;Asturias, Principado de;84 años;442
Ambos sexos;Asturias, Principado de;85 años;478
Ambos sexos;Asturias, Principado de;86 años;472
Ambos sexos;Asturias, Principado de;87 años;398
Ambos sexos;Asturias, Principado de;88 años;457
Ambos sexos;Asturias, Principado de;89 años;377
Ambos sexos;Asturias, Principado de;90 años;337
Ambos sexos;Asturias, Principado de;91 años;274
Ambos sexos;Asturias, Principado de;92 años;211
Ambos sexos;Asturias, Principado de;93 años;189
Ambos sexos;Asturias, Principado de;94 años;127
Ambos sexos;Asturias, Principado de;95 años;144
Ambos sexos;Asturias, Principado de;96 años;86
Ambos sexos;Asturias, Principado de;97 años;75
Ambos sexos;Asturias, Principado de;98 años;41
Ambos sexos;Asturias, Principado de;99 años;68
Ambos sexos;Asturias, Principado de;100 y más años;59
Ambos sexos;Balears, Illes;Total;7.035
Ambos sexos;Balears, Illes;0 años;3
Ambos sexos;Balears, Illes;1 año;4
Ambos sexos;Balears, Illes;2 años;..
Ambos sexos;Balears, Illes;3 años;3
Ambos sexos;Balears, Illes;4 años;..
