Comunidades autónomas;Tipo de dato;Periodo;Total
Total Nacional;Dato base;2014SM45;7.333
Total Nacional;Dato base;2014SM44;7.287
Total Nacional;Dato base;2014SM43;7.322
Total Nacional;Dato base;2014SM42;7.265
Total Nacional;Dato base;2014SM41;6.987
Total Nacional;Dato base;2014SM40;6.930
Total Nacional;Dato base;2014SM39;6.508
Total Nacional;Dato base;2014SM38;6.626
Total Nacional;Dato base;2014SM37;6.687
Total Nacional;Dato base;2014SM36;7.057
Total Nacional;Dato base;2014SM35;6.995
Total Nacional;Dato base;2014SM34;6.643
Total Nacional;Dato base;2014SM33;6.724
Total Nacional;Dato base;2014SM32;6.891
Total Nacional;Dato base;2014SM31;6.867
Total Nacional;Dato base;2014SM30;7.127
Total Nacional;Dato base;2014SM29;7.065
Total Nacional;Dato base;2014SM28;6.736
Total Nacional;Dato base;2014SM27;6.851
Total Nacional;Dato base;2014SM26;6.852
Total Nacional;Dato base;2014SM25;7.248
Total Nacional;Dato base;2014SM24;7.404
Total Nacional;Dato base;2014SM23;7.136
Total Nacional;Dato base;2014SM22;6.832
Total Nacional;Dato base;2014SM21;6.904
Total Nacional;Dato base;2014SM20;7.049
Total Nacional;Dato base;2014SM19;7.344
Total Nacional;Dato base;2014SM18;7.307
Total Nacional;Dato base;2014SM17;6.999
Total Nacional;Dato base;2014SM16;7.258
Total Nacional;Dato base;2014SM15;7.635
Total Nacional;Dato base;2014SM14;7.743
Total Nacional;Dato base;2014SM13;7.728
Total Nacional;Dato base;2014SM12;8.034
Total Nacional;Dato base;2014SM11;7.813
Total Nacional;Dato base;2014SM10;8.107
Total Nacional;Dato base;2014SM09;8.252
Total Nacional;Dato base;2014SM08;8.396
Total Nacional;Dato base;2014SM07;8.829
Total Nacional;Dato base;2014SM06;8.996
Total Nacional;Dato base;2014SM05;8.867
Total Nacional;Dato base;2014SM04;9.061
Total Nacional;Dato base;2014SM03;9.126
Total Nacional;Dato base;2014SM02;9.009
Total Nacional;Dato base;2014SM01;9.049
Total Nacional;Dato base;2013SM52;8.572
Total Nacional;Dato base;2013SM51;8.459
Total Nacional;Dato base;2013SM50;8.142
Total Nacional;Dato base;2013SM49;8.183
Total Nacional;Dato base;2013SM48;8.066
Total Nacional;Dato base;2013SM47;7.474
Total Nacional;Dato base;2013SM46;7.246
Total Nacional;Dato base;2013SM45;7.366
Total Nacional;Dato base;2013SM44;6.883
Total Nacional;Dato base;2013SM43;7.017
Total Nacional;Dato base;2013SM42;6.960
Total Nacional;Dato base;2013SM41;6.520
Total Nacional;Dato base;2013SM40;6.939
Total Nacional;Dato base;2013SM39;6.907
Total Nacional;Dato base;2013SM38;6.465
Total Nacional;Dato base;2013SM37;6.376
Total Nacional;Dato base;2013SM36;6.418
Total Nacional;Dato base;2013SM35;6.477
Total Nacional;Dato base;2013SM34;6.757
Total Nacional;Dato base;2013SM33;6.771
Total Nacional;Dato base;2013SM32;6.734
Total Nacional;Dato base;2013SM31;6.795
Total Nacional;Dato base;2013SM30;6.904
Total Nacional;Dato base;2013SM29;7.063
Total Nacional;Dato base;2013SM28;7.807
Total Nacional;Dato base;2013SM27;7.301
Total Nacional;Dato base;2013SM26;6.916
Total Nacional;Dato base;2013SM25;6.670
Total Nacional;Dato base;2013SM24;7.314
Total Nacional;Dato base;2013SM23;7.173
Total Nacional;Dato base;2013SM22;6.988
Total Nacional;Dato base;2013SM21;6.940
Total Nacional;Dato base;2013SM20;7.032
Total Nacional;Dato base;2013SM19;7.166
Total Nacional;Dato base;2013SM18;7.054
Total Nacional;Dato base;2013SM17;7.020
Total Nacional;Dato base;2013SM16;7.253
Total Nacional;Dato base;2013SM15;7.551
Total Nacional;Dato base;2013SM14;7.561
Total Nacional;Dato base;2013SM13;7.703
Total Nacional;Dato base;2013SM12;8.131
Total Nacional;Dato base;2013SM11;7.947
Total Nacional;Dato base;2013SM10;8.739
Total Nacional;Dato base;2013SM09;8.472
Total Nacional;Dato base;2013SM08;8.508
Total Nacional;Dato base;2013SM07;8.609
Total Nacional;Dato base;2013SM06;8.320
Total Nacional;Dato base;2013SM05;8.359
Total Nacional;Dato base;2013SM04;8.328
Total Nacional;Dato base;2013SM03;8.562
Total Nacional;Dato base;2013SM02;8.422
Total Nacional;Dato base;2013SM01;7.914
Total Nacional;Dato base;2012SM52;7.857
Total Nacional;Dato base;2012SM51;7.866
Total Nacional;Dato base;2012SM50;8.137
Total Nacional;Dato base;2012SM49;7.747
Total Nacional;Dato base;2012SM48;7.333
Total Nacional;Dato base;2012SM47;7.308
Total Nacional;Dato base;2012SM46;7.422
Total Nacional;Dato base;2012SM45;7.366
Total Nacional;Dato base;2012SM44;7.350
Total Nacional;Dato base;2012SM43;6.696
Total Nacional;Dato base;2012SM42;6.867
Total Nacional;Dato base;2012SM41;6.845
Total Nacional;Dato base;2012SM40;6.662
Total Nacional;Dato base;2012SM39;6.268
Total Nacional;Dato base;2012SM38;6.644
Total Nacional;Dato base;2012SM37;6.524
Total Nacional;Dato base;2012SM36;6.652
Total Nacional;Dato base;2012SM35;6.536
Total Nacional;Dato base;2012SM34;7.157
Total Nacional;Dato base;2012SM33;6.842
Total Nacional;Dato base;2012SM32;6.959
Total Nacional;Dato base;2012SM31;6.742
Total Nacional;Dato base;2012SM30;6.844
Total Nacional;Dato base;2012SM29;6.612
Total Nacional;Dato base;2012SM28;6.675
Total Nacional;Dato base;2012SM27;6.451
Total Nacional;Dato base;2012SM26;7.267
Total Nacional;Dato base;2012SM25;6.589
Total Nacional;Dato base;2012SM24;6.499
Total Nacional;Dato base;2012SM23;6.771
Total Nacional;Dato base;2012SM22;7.010
Total Nacional;Dato base;2012SM21;6.972
Total Nacional;Dato base;2012SM20;7.235
Total Nacional;Dato base;2012SM19;7.625
Total Nacional;Dato base;2012SM18;7.394
Total Nacional;Dato base;2012SM17;7.551
Total Nacional;Dato base;2012SM16;7.683
Total Nacional;Dato base;2012SM15;7.626
Total Nacional;Dato base;2012SM14;7.759
Total Nacional;Dato base;2012SM13;8.135
Total Nacional;Dato base;2012SM12;8.088
Total Nacional;Dato base;2012SM11;8.907
Total Nacional;Dato base;2012SM10;9.309
Total Nacional;Dato base;2012SM09;10.535
Total Nacional;Dato base;2012SM08;10.993
Total Nacional;Dato base;2012SM07;11.103
Total Nacional;Dato base;2012SM06;10.064
Total Nacional;Dato base;2012SM05;9.256
Total Nacional;Dato base;2012SM04;8.936
Total Nacional;Dato base;2012SM03;9.241
Total Nacional;Dato base;2012SM02;9.131
Total Nacional;Dato base;2012SM01;8.698
Total Nacional;Dato base;2011SM52;8.724
Total Nacional;Dato base;2011SM51;8.380
Total Nacional;Dato base;2011SM50;8.006
Total Nacional;Dato base;2011SM49;7.816
Total Nacional;Dato base;2011SM48;7.654
Total Nacional;Dato base;2011SM47;7.320
Total Nacional;Dato base;2011SM46;7.407
Total Nacional;Dato base;2011SM45;7.408
Total Nacional;Dato base;2011SM44;7.434
Total Nacional;Dato base;2011SM43;7.308
Total Nacional;Dato base;2011SM42;7.141
Total Nacional;Dato base;2011SM41;7.089
Total Nacional;Dato base;2011SM40;6.900
Total Nacional;Dato base;2011SM39;6.756
Total Nacional;Dato base;2011SM38;6.371
Total Nacional;Dato base;2011SM37;6.690
Total Nacional;Dato base;2011SM36;6.605
Total Nacional;Dato base;2011SM35;6.635
Total Nacional;Dato base;2011SM34;6.887
Total Nacional;Dato base;2011SM33;7.051
Total Nacional;Dato base;2011SM32;6.821
Total Nacional;Dato base;2011SM31;6.892
Total Nacional;Dato base;2011SM30;6.698
Total Nacional;Dato base;2011SM29;6.618
Total Nacional;Dato base;2011SM28;6.827
Total Nacional;Dato base;2011SM27;6.873
Total Nacional;Dato base;2011SM26;7.393
Total Nacional;Dato base;2011SM25;7.030
Total Nacional;Dato base;2011SM24;6.851
Total Nacional;Dato base;2011SM23;6.690
Total Nacional;Dato base;2011SM22;6.743
Total Nacional;Dato base;2011SM21;7.218
Total Nacional;Dato base;2011SM20;6.855
Total Nacional;Dato base;2011SM19;6.988
Total Nacional;Dato base;2011SM18;6.941
Total Nacional;Dato base;2011SM17;7.090
Total Nacional;Dato base;2011SM16;6.915
Total Nacional;Dato base;2011SM15;7.071
Total Nacional;Dato base;2011SM14;7.545
Total Nacional;Dato base;2011SM13;7.625
Total Nacional;Dato base;2011SM12;7.529
Total Nacional;Dato base;2011SM11;7.851
Total Nacional;Dato base;2011SM10;7.970
Total Nacional;Dato base;2011SM09;7.822
Total Nacional;Dato base;2011SM08;8.135
Total Nacional;Dato base;2011SM07;8.496
Total Nacional;Dato base;2011SM06;8.684
Total Nacional;Dato base;2011SM05;8.657
Total Nacional;Dato base;2011SM04;8.699
Total Nacional;Dato base;2011SM03;8.419
Total Nacional;Dato base;2011SM02;8.440
Total Nacional;Dato base;2011SM01;8.886
Total Nacional;Dato base;2010SM52;8.499
Total Nacional;Dato base;2010SM51;7.917
Total Nacional;Dato base;2010SM50;7.681
Total Nacional;Dato base;2010SM49;7.782
Total Nacional;Dato base;2010SM48;7.752
Total Nacional;Dato base;2010SM47;7.531
Total Nacional;Dato base;2010SM46;7.354
Total Nacional;Dato base;2010SM45;7.299
Total Nacional;Dato base;2010SM44;7.292
Total Nacional;Dato base;2010SM43;7.305
Total Nacional;Dato base;2010SM42;7.074
Total Nacional;Dato base;2010SM41;6.682
Total Nacional;Dato base;2010SM40;6.942
Total Nacional;Dato base;2010SM39;6.655
Total Nacional;Dato base;2010SM38;6.486
Total Nacional;Dato base;2010SM37;6.329
Total Nacional;Dato base;2010SM36;6.410
Total Nacional;Dato base;2010SM35;6.557
Total Nacional;Dato base;2010SM34;6.822
Total Nacional;Dato base;2010SM33;6.545
Total Nacional;Dato base;2010SM32;6.752
Total Nacional;Dato base;2010SM31;6.651
Total Nacional;Dato base;2010SM30;6.648
Total Nacional;Dato base;2010SM29;6.888
Total Nacional;Dato base;2010SM28;7.298
Total Nacional;Dato base;2010SM27;7.355
Total Nacional;Dato base;2010SM26;7.220
Total Nacional;Dato base;2010SM25;6.808
Total Nacional;Dato base;2010SM24;6.496
Total Nacional;Dato base;2010SM23;6.475
Total Nacional;Dato base;2010SM22;7.162
Total Nacional;Dato base;2010SM21;7.159
Total Nacional;Dato base;2010SM20;7.272
Total Nacional;Dato base;2010SM19;6.884
Total Nacional;Dato base;2010SM18;6.815
Total Nacional;Dato base;2010SM17;7.228
Total Nacional;Dato base;2010SM16;7.156
Total Nacional;Dato base;2010SM15;7.476
Total Nacional;Dato base;2010SM14;7.299
Total Nacional;Dato base;2010SM13;7.237
Total Nacional;Dato base;2010SM12;7.568
Total Nacional;Dato base;2010SM11;7.778
Total Nacional;Dato base;2010SM10;7.498
Total Nacional;Dato base;2010SM09;7.471
Total Nacional;Dato base;2010SM08;8.059
Total Nacional;Dato base;2010SM07;8.283
Total Nacional;Dato base;2010SM06;7.954
Total Nacional;Dato base;2010SM05;8.154
Total Nacional;Dato base;2010SM04;8.063
Total Nacional;Dato base;2010SM03;8.322
Total Nacional;Dato base;2010SM02;8.640
Total Nacional;Dato base;2010SM01;8.205
Total Nacional;Dato base;2009SM53;8.345
Total Nacional;Dato base;2009SM52;8.568
Total Nacional;Dato base;2009SM51;7.969
Total Nacional;Dato base;2009SM50;7.547
Total Nacional;Dato base;2009SM49;7.509
Total Nacional;Dato base;2009SM48;7.219
Total Nacional;Dato base;2009SM47;7.365
Total Nacional;Dato base;2009SM46;7.313
Total Nacional;Dato base;2009SM45;6.918
Total Nacional;Dato base;2009SM44;7.144
Total Nacional;Dato base;2009SM43;7.042
Total Nacional;Dato base;2009SM42;6.685
Total Nacional;Dato base;2009SM41;6.908
Total Nacional;Dato base;2009SM40;6.778
Total Nacional;Dato base;2009SM39;6.539
Total Nacional;Dato base;2009SM38;6.259
Total Nacional;Dato base;2009SM37;6.315
Total Nacional;Dato base;2009SM36;6.482
Total Nacional;Dato base;2009SM35;6.786
Total Nacional;Dato base;2009SM34;6.997
Total Nacional;Dato base;2009SM33;6.679
Total Nacional;Dato base;2009SM32;6.703
Total Nacional;Dato base;2009SM31;6.759
Total Nacional;Dato base;2009SM30;6.693
Total Nacional;Dato base;2009SM29;6.588
Total Nacional;Dato base;2009SM28;6.519
Total Nacional;Dato base;2009SM27;7.041
Total Nacional;Dato base;2009SM26;6.714
Total Nacional;Dato base;2009SM25;7.016
Total Nacional;Dato base;2009SM24;6.803
Total Nacional;Dato base;2009SM23;6.759
Total Nacional;Dato base;2009SM22;6.712
Total Nacional;Dato base;2009SM21;7.053
Total Nacional;Dato base;2009SM20;7.030
Total Nacional;Dato base;2009SM19;7.310
Total Nacional;Dato base;2009SM18;6.994
Total Nacional;Dato base;2009SM17;7.286
Total Nacional;Dato base;2009SM16;7.176
Total Nacional;Dato base;2009SM15;7.285
Total Nacional;Dato base;2009SM14;7.377
Total Nacional;Dato base;2009SM13;7.337
Total Nacional;Dato base;2009SM12;7.425
Total Nacional;Dato base;2009SM11;7.652
Total Nacional;Dato base;2009SM10;7.743
Total Nacional;Dato base;2009SM09;7.844
Total Nacional;Dato base;2009SM08;7.986
Total Nacional;Dato base;2009SM07;8.046
Total Nacional;Dato base;2009SM06;8.451
Total Nacional;Dato base;2009SM05;8.868
Total Nacional;Dato base;2009SM04;9.522
Total Nacional;Dato base;2009SM03;9.868
Total Nacional;Dato base;2009SM02;9.319
Total Nacional;Dato base;2009SM01;9.494
Total Nacional;Dato base;2008SM52;8.713
Total Nacional;Dato base;2008SM51;8.205
Total Nacional;Dato base;2008SM50;7.938
Total Nacional;Dato base;2008SM49;8.102
Total Nacional;Dato base;2008SM48;7.527
Total Nacional;Dato base;2008SM47;7.403
Total Nacional;Dato base;2008SM46;7.529
Total Nacional;Dato base;2008SM45;7.054
Total Nacional;Dato base;2008SM44;7.199
Total Nacional;Dato base;2008SM43;6.846
Total Nacional;Dato base;2008SM42;7.047
Total Nacional;Dato base;2008SM41;7.096
Total Nacional;Dato base;2008SM40;6.539
Total Nacional;Dato base;2008SM39;6.161
Total Nacional;Dato base;2008SM38;6.378
Total Nacional;Dato base;2008SM37;6.289
