Comunidades Autónomas y Provincias;Tipo de establecimiento colectivo (agrupado);Sexo;Total
Zaragoza;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Hombre;400
Zaragoza;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Mujer;363
Zaragoza;Instituciones religiosas o militares;Ambos sexos;2.964
Zaragoza;Instituciones religiosas o militares;Hombre;1.976
Zaragoza;Instituciones religiosas o militares;Mujer;988
Zaragoza;Otros tipos de establecimientos colectivos;Ambos sexos;2.779
Zaragoza;Otros tipos de establecimientos colectivos;Hombre;2.306
Zaragoza;Otros tipos de establecimientos colectivos;Mujer;473
ASTURIAS, PRINCIPADO DE;Total;Ambos sexos;10.421
ASTURIAS, PRINCIPADO DE;Total;Hombre;4.148
ASTURIAS, PRINCIPADO DE;Total;Mujer;6.273
ASTURIAS, PRINCIPADO DE;Instituciones sanitarias;Ambos sexos;53
ASTURIAS, PRINCIPADO DE;Instituciones sanitarias;Hombre;33
ASTURIAS, PRINCIPADO DE;Instituciones sanitarias;Mujer;21
ASTURIAS, PRINCIPADO DE;Residencias de personas mayores;Ambos sexos;8.246
ASTURIAS, PRINCIPADO DE;Residencias de personas mayores;Hombre;2.635
ASTURIAS, PRINCIPADO DE;Residencias de personas mayores;Mujer;5.611
ASTURIAS, PRINCIPADO DE;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Ambos sexos;795
ASTURIAS, PRINCIPADO DE;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Hombre;504
ASTURIAS, PRINCIPADO DE;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Mujer;292
ASTURIAS, PRINCIPADO DE;Instituciones religiosas o militares;Ambos sexos;246
ASTURIAS, PRINCIPADO DE;Instituciones religiosas o militares;Hombre;99
ASTURIAS, PRINCIPADO DE;Instituciones religiosas o militares;Mujer;147
ASTURIAS, PRINCIPADO DE;Otros tipos de establecimientos colectivos;Ambos sexos;1.080
ASTURIAS, PRINCIPADO DE;Otros tipos de establecimientos colectivos;Hombre;878
ASTURIAS, PRINCIPADO DE;Otros tipos de establecimientos colectivos;Mujer;202
BALEARS, ILLES;Total;Ambos sexos;7.035
BALEARS, ILLES;Total;Hombre;3.974
BALEARS, ILLES;Total;Mujer;3.062
BALEARS, ILLES;Instituciones sanitarias;Ambos sexos;377
BALEARS, ILLES;Instituciones sanitarias;Hombre;166
BALEARS, ILLES;Instituciones sanitarias;Mujer;211
BALEARS, ILLES;Residencias de personas mayores;Ambos sexos;3.379
BALEARS, ILLES;Residencias de personas mayores;Hombre;1.100
BALEARS, ILLES;Residencias de personas mayores;Mujer;2.278
BALEARS, ILLES;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Ambos sexos;371
BALEARS, ILLES;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Hombre;225
BALEARS, ILLES;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Mujer;146
BALEARS, ILLES;Instituciones religiosas o militares;Ambos sexos;673
BALEARS, ILLES;Instituciones religiosas o militares;Hombre;485
BALEARS, ILLES;Instituciones religiosas o militares;Mujer;188
BALEARS, ILLES;Otros tipos de establecimientos colectivos;Ambos sexos;2.235
BALEARS, ILLES;Otros tipos de establecimientos colectivos;Hombre;1.997
BALEARS, ILLES;Otros tipos de establecimientos colectivos;Mujer;238
CANARIAS;Total;Ambos sexos;12.167
CANARIAS;Total;Hombre;7.326
CANARIAS;Total;Mujer;4.841
CANARIAS;Instituciones sanitarias;Ambos sexos;1.291
CANARIAS;Instituciones sanitarias;Hombre;574
CANARIAS;Instituciones sanitarias;Mujer;717
CANARIAS;Residencias de personas mayores;Ambos sexos;5.014
CANARIAS;Residencias de personas mayores;Hombre;1.787
CANARIAS;Residencias de personas mayores;Mujer;3.227
CANARIAS;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Ambos sexos;917
CANARIAS;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Hombre;583
CANARIAS;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Mujer;334
CANARIAS;Instituciones religiosas o militares;Ambos sexos;743
CANARIAS;Instituciones religiosas o militares;Hombre;548
CANARIAS;Instituciones religiosas o militares;Mujer;195
CANARIAS;Otros tipos de establecimientos colectivos;Ambos sexos;4.202
CANARIAS;Otros tipos de establecimientos colectivos;Hombre;3.834
CANARIAS;Otros tipos de establecimientos colectivos;Mujer;369
Palmas, Las;Total;Ambos sexos;6.631
Palmas, Las;Total;Hombre;4.427
Palmas, Las;Total;Mujer;2.204
Palmas, Las;Instituciones sanitarias;Ambos sexos;457
Palmas, Las;Instituciones sanitarias;Hombre;280
Palmas, Las;Instituciones sanitarias;Mujer;177
Palmas, Las;Residencias de personas mayores;Ambos sexos;2.265
Palmas, Las;Residencias de personas mayores;Hombre;786
Palmas, Las;Residencias de personas mayores;Mujer;1.480
Palmas, Las;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Ambos sexos;548
Palmas, Las;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Hombre;333
Palmas, Las;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Mujer;215
Palmas, Las;Instituciones religiosas o militares;Ambos sexos;634
Palmas, Las;Instituciones religiosas o militares;Hombre;500
Palmas, Las;Instituciones religiosas o militares;Mujer;134
Palmas, Las;Otros tipos de establecimientos colectivos;Ambos sexos;2.728
Palmas, Las;Otros tipos de establecimientos colectivos;Hombre;2.529
Palmas, Las;Otros tipos de establecimientos colectivos;Mujer;199
Santa Cruz de Tenerife;Total;Ambos sexos;5.535
Santa Cruz de Tenerife;Total;Hombre;2.899
Santa Cruz de Tenerife;Total;Mujer;2.637
Santa Cruz de Tenerife;Instituciones sanitarias;Ambos sexos;833
Santa Cruz de Tenerife;Instituciones sanitarias;Hombre;294
Santa Cruz de Tenerife;Instituciones sanitarias;Mujer;539
Santa Cruz de Tenerife;Residencias de personas mayores;Ambos sexos;2.748
Santa Cruz de Tenerife;Residencias de personas mayores;Hombre;1.001
Santa Cruz de Tenerife;Residencias de personas mayores;Mujer;1.747
Santa Cruz de Tenerife;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Ambos sexos;370
Santa Cruz de Tenerife;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Hombre;250
Santa Cruz de Tenerife;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Mujer;119
Santa Cruz de Tenerife;Instituciones religiosas o militares;Ambos sexos;110
Santa Cruz de Tenerife;Instituciones religiosas o militares;Hombre;48
Santa Cruz de Tenerife;Instituciones religiosas o militares;Mujer;62
Santa Cruz de Tenerife;Otros tipos de establecimientos colectivos;Ambos sexos;1.475
Santa Cruz de Tenerife;Otros tipos de establecimientos colectivos;Hombre;1.305
Santa Cruz de Tenerife;Otros tipos de establecimientos colectivos;Mujer;169
CANTABRIA;Total;Ambos sexos;5.781
CANTABRIA;Total;Hombre;2.252
CANTABRIA;Total;Mujer;3.530
CANTABRIA;Instituciones sanitarias;Ambos sexos;501
CANTABRIA;Instituciones sanitarias;Hombre;138
CANTABRIA;Instituciones sanitarias;Mujer;363
CANTABRIA;Residencias de personas mayores;Ambos sexos;3.964
CANTABRIA;Residencias de personas mayores;Hombre;1.168
CANTABRIA;Residencias de personas mayores;Mujer;2.796
CANTABRIA;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Ambos sexos;248
CANTABRIA;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Hombre;114
CANTABRIA;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Mujer;135
CANTABRIA;Instituciones religiosas o militares;Ambos sexos;185
CANTABRIA;Instituciones religiosas o militares;Hombre;28
CANTABRIA;Instituciones religiosas o militares;Mujer;157
CANTABRIA;Otros tipos de establecimientos colectivos;Ambos sexos;883
CANTABRIA;Otros tipos de establecimientos colectivos;Hombre;804
CANTABRIA;Otros tipos de establecimientos colectivos;Mujer;79
CASTILLA Y LEÓN;Total;Ambos sexos;50.935
CASTILLA Y LEÓN;Total;Hombre;23.026
CASTILLA Y LEÓN;Total;Mujer;27.909
CASTILLA Y LEÓN;Instituciones sanitarias;Ambos sexos;2.027
CASTILLA Y LEÓN;Instituciones sanitarias;Hombre;1.115
CASTILLA Y LEÓN;Instituciones sanitarias;Mujer;912
CASTILLA Y LEÓN;Residencias de personas mayores;Ambos sexos;32.001
CASTILLA Y LEÓN;Residencias de personas mayores;Hombre;11.074
CASTILLA Y LEÓN;Residencias de personas mayores;Mujer;20.927
CASTILLA Y LEÓN;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Ambos sexos;3.573
CASTILLA Y LEÓN;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Hombre;1.841
CASTILLA Y LEÓN;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Mujer;1.732
CASTILLA Y LEÓN;Instituciones religiosas o militares;Ambos sexos;6.624
CASTILLA Y LEÓN;Instituciones religiosas o militares;Hombre;3.008
CASTILLA Y LEÓN;Instituciones religiosas o militares;Mujer;3.616
CASTILLA Y LEÓN;Otros tipos de establecimientos colectivos;Ambos sexos;6.709
CASTILLA Y LEÓN;Otros tipos de establecimientos colectivos;Hombre;5.988
CASTILLA Y LEÓN;Otros tipos de establecimientos colectivos;Mujer;721
Ávila;Total;Ambos sexos;3.508
Ávila;Total;Hombre;1.296
Ávila;Total;Mujer;2.212
Ávila;Instituciones sanitarias;Ambos sexos;268
Ávila;Instituciones sanitarias;Hombre;187
Ávila;Instituciones sanitarias;Mujer;80
Ávila;Residencias de personas mayores;Ambos sexos;2.442
Ávila;Residencias de personas mayores;Hombre;895
Ávila;Residencias de personas mayores;Mujer;1.547
Ávila;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Ambos sexos;386
Ávila;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Hombre;183
Ávila;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Mujer;203
Ávila;Instituciones religiosas o militares;Ambos sexos;234
Ávila;Instituciones religiosas o militares;Hombre;10
Ávila;Instituciones religiosas o militares;Mujer;223
Ávila;Otros tipos de establecimientos colectivos;Ambos sexos;179
Ávila;Otros tipos de establecimientos colectivos;Hombre;20
Ávila;Otros tipos de establecimientos colectivos;Mujer;159
Burgos;Total;Ambos sexos;8.085
Burgos;Total;Hombre;3.623
Burgos;Total;Mujer;4.462
Burgos;Instituciones sanitarias;Ambos sexos;199
Burgos;Instituciones sanitarias;Hombre;98
Burgos;Instituciones sanitarias;Mujer;100
