Provincias;Sexo;Periodo;Total
04 Almería;Total;1998;3.898
04 Almería;Total;1997;3.862
04 Almería;Total;1996;3.936
04 Almería;Total;1995;3.669
04 Almería;Total;1994;3.586
04 Almería;Total;1993;3.660
04 Almería;Total;1992;3.441
04 Almería;Total;1991;3.593
04 Almería;Total;1990;3.495
04 Almería;Total;1989;3.584
04 Almería;Total;1988;3.402
04 Almería;Total;1987;3.329
04 Almería;Total;1986;3.304
04 Almería;Total;1985;3.196
04 Almería;Total;1984;2.958
04 Almería;Total;1983;3.174
04 Almería;Total;1982;3.005
04 Almería;Total;1981;3.226
04 Almería;Total;1980;3.208
04 Almería;Total;1979;3.228
04 Almería;Total;1978;3.379
04 Almería;Total;1977;3.244
04 Almería;Total;1976;3.302
04 Almería;Total;1975;3.374
04 Almería;Hombres;2018;3.021
04 Almería;Hombres;2017;2.733
04 Almería;Hombres;2016;2.631
04 Almería;Hombres;2015;2.801
04 Almería;Hombres;2014;2.551
04 Almería;Hombres;2013;2.490
04 Almería;Hombres;2012;2.610
04 Almería;Hombres;2011;2.564
04 Almería;Hombres;2010;2.457
04 Almería;Hombres;2009;2.468
04 Almería;Hombres;2008;2.526
04 Almería;Hombres;2007;2.491
04 Almería;Hombres;2006;2.409
04 Almería;Hombres;2005;2.456
04 Almería;Hombres;2004;2.402
04 Almería;Hombres;2003;2.429
04 Almería;Hombres;2002;2.305
04 Almería;Hombres;2001;2.256
04 Almería;Hombres;2000;2.143
04 Almería;Hombres;1999;2.289
04 Almería;Hombres;1998;2.094
04 Almería;Hombres;1997;2.070
04 Almería;Hombres;1996;2.087
04 Almería;Hombres;1995;1.990
04 Almería;Hombres;1994;1.894
04 Almería;Hombres;1993;1.972
04 Almería;Hombres;1992;1.852
04 Almería;Hombres;1991;1.876
04 Almería;Hombres;1990;1.919
04 Almería;Hombres;1989;1.891
04 Almería;Hombres;1988;1.785
04 Almería;Hombres;1987;1.742
04 Almería;Hombres;1986;1.710
04 Almería;Hombres;1985;1.658
04 Almería;Hombres;1984;1.563
04 Almería;Hombres;1983;1.632
04 Almería;Hombres;1982;1.519
04 Almería;Hombres;1981;1.649
04 Almería;Hombres;1980;1.591
04 Almería;Hombres;1979;1.631
04 Almería;Hombres;1978;1.765
