,Plazas residenciales privadas según tamaño del centro (plazas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019,,,,,,2017,,,,,,2015,,,,,,2013,,,,,,2012,,,,,,2011,,,,,,2010,,,,,,2009,,,,,,2008,,,,,,2007,,,,,,2006,,,,
,,Distribución de plazas según tamaño del centro 1,,,,,,Distribución de plazas según tamaño del centro 1,,,,,,Distribución de plazas según tamaño del centro 1,,,,,,Distribución de plazas según tamaño del centro 1,,,,,,Distribución de plazas según tamaño del centro 1,,,,,,Distribución de plazas según tamaño del centro 1,,,,,,Distribución de plazas según tamaño del centro 1,,,,,,Distribución de plazas según tamaño del centro 1,,,,,,Distribución de plazas según tamaño del centro 1,,,,,,Distribución de plazas según tamaño del centro 1,,,,,,Distribución de plazas según tamaño del centro 1,,,,
,,< 25, 25 - 49,50 - 99,>= 100,TOTAL,,< 25, 25 - 49,50 - 99,>= 100,TOTAL,,< 25, 25 - 49,50 - 99,>= 100,TOTAL,,< 25, 25 - 49,50 - 99,>= 100,TOTAL,,< 25, 25 - 49,50 - 99,>= 100,TOTAL,,< 25, 25 - 49,50 - 99,>= 100,TOTAL,,< 25, 25 - 49,50 - 99,>= 100,TOTAL,,< 25, 25 - 49,50 - 99,>= 100,TOTAL,,< 25, 25 - 49,50 - 99,>= 100,TOTAL,,< 25, 25 - 49,50 - 99,>= 100,TOTAL,,< 25, 25 - 49,50 - 99,>= 100,TOTAL
,Ourense,439,839,1334,1820,4432,,383,792,1327,1820,4322,,343,792,1330,1820,4285,,295,756,1003,1922,3976,,304,756,1013,1902,3975,,306,756,1025,1752,3839,,306,712,1078,1752,3848,,153,567,956,1397,3073,,165,512,883,1397,2957,,150,350,547,1387,2434,,,,,,
,Pontevedra,352,145,1168,2200,3865,,310,107,1184,2227,3828,,322,107,1102,2227,3758,,259,149,852,2007,3267,,251,189,768,1885,3093,,251,189,768,2053,3261,,271,189,768,2053,3281,,179,168,714,1731,2792,,144,168,714,1555,2581,,129,168,809,1487,2593,,,,,,
,Madrid (Comunidad de),643,2547,7281,26834,37305,,706,2531,7186,26558,36981,,734,2531,7073,26362,36700,,1188,2789,7368,25472,36817,,1361,2939,7378,25350,37028,,1393,2913,6860,24842,36008,,1502,2957,6580,21312,32351,,1500,2911,6580,22002,32993,,1587,2993,6338,19271,30189,,1949,3141,6356,18120,29566,,,,,,29388
,Murcia (Región de),37,298,1347,2261,3943,,37,258,1450,2241,3986,,23,346,1459,2192,4020,,23,352,1563,2020,3958,,32,382,1631,1693,3738,,32,296,1268,1800,3396,,32,326,1189,1702,3249,,32,326,1189,1702,3249,,21,284,947,1600,2852,,21,241,1067,1600,2929,,,,,,2851
,Navarra (Comunidad Foral de),42,498,1321,2306,4167,,42,498,1199,2406,4145,,72,497,1356,2386,4311,,72,525,1340,2378,4315,,96,530,1507,2028,4161,,96,530,1525,2028,4179,,48,562,967,2424,4001,,48,562,967,2424,4001,,90,627,1067,2351,4135,,70,611,1054,2235,3970,,,,,,4442
,País Vasco,1931,2170,3487,6285,13873,,1886,2067,3460,6486,13899,,1869,1842,3329,6337,13377,,1760,1759,2990,5406,11915,,1924,1845,2934,5529,12232,,1936,1845,2750,5548,12079,,1977,1759,2620,5488,11844,,1989,1759,2551,5838,12137,,2010,1841,2627,5484,11962,,1416,1281,2420,4170,9287,,,,,,8715
,Araba/Álava,664,561,331,449,2005,,610,411,269,409,1699,,501,301,208,409,1419,,504,301,156,409,1370,,533,265,270,409,1477,,521,265,182,409,1377,,526,179,52,644,1401,,521,179,52,644,1396,,522,179,117,425,1243,,353,214,52,601,1220,,,,,,
,Bizkaia,1228,1322,2178,3904,8632,,1228,1369,2130,4155,8882,,1272,1321,1992,4287,8872,,1155,1238,1649,3508,7550,,1274,1270,1617,3629,7790,,1298,1270,1617,3648,7833,,1334,1270,1617,3461,7682,,1334,1270,1548,3811,7963,,1354,1304,1540,3815,8013,,992,726,1463,2607,5788,,,,,,
,Gipuzkoa,39,287,978,1932,3236,,48,287,1061,1922,3318,,96,220,1129,1641,3086,,101,220,1185,1489,2995,,117,310,1047,1491,2965,,117,310,951,1491,2869,,117,310,951,1383,2761,,134,310,951,1383,2778,,134,358,970,1244,2706,,71,341,905,962,2279,,,,,,
,Rioja (La),34,155,638,1317,2144,,34,155,638,1317,2144,,44,155,636,1169,2004,,44,155,644,1173,2016,,46,157,538,1182,1923,,46,157,538,1063,1804,,46,196,469,1260,1971,,46,231,407,1260,1944,,46,230,507,1250,2033,,46,232,491,1042,1811,,,,,,1679
,Ceuta,0,42,0,120,162,,0,42,0,0,42,,0,42,83,0,125,,0,0,135,0,135,,0,47,52,0,99,,0,47,52,0,99,,0,47,52,0,99,,0,47,52,0,99,,0,47,52,0,99,,0,0,52,0,52,,,,,,52
,Melilla,0,0,0,111,111,,0,0,0,111,111,,0,0,0,111,111,,0,0,0,111,111,,0,0,0,122,122,,0,0,0,122,122,,0,0,0,122,122,,0,0,0,122,122,,0,0,0,122,122,,0,0,0,135,135,,,,,,135
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(1) Centros residenciales de los que se conoce el número de plazas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tamaño del centro según número de plazas.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
