,,,,,,,,
"Statistical table extracted on July 26, 2020 (01:08:57)",,,,,,,,
http://www.ine.pt,,,,,,,,
,,,,,,,,
,,,,,,,,
Data reference period,Place of residence (NUTS - 2013),,"Deaths (No.) by Place of residence (NUTS - 2013), Sex and Age group; Weekly",,,,,
,,,Sex,,,,,
,,,MF,,M,,F,
,,,Age group,,,,,
,,,Total,,,,,
,,,No. ,,No. ,,No. ,
,Portugal,PT,2276,,1120,,1156,
,Foreigner,YY,15,,11,,4,
14th Week 2018,Total,T,2365,,1173,,1192,
,Portugal,PT,2354,,1164,,1190,
,Foreigner,YY,11,,9,,2,
13th Week 2018,Total,T,2361,,1174,,1187,
,Portugal,PT,2356,,1170,,1186,
,Foreigner,YY,5,,4,,1,
12th Week 2018,Total,T,2243,,1096,,1147,
,Portugal,PT,2234,,1089,,1145,
,Foreigner,YY,9,,7,,2,
11th Week 2018,Total,T,2386,,1235,,1151,
,Portugal,PT,2371,,1226,,1145,
,Foreigner,YY,15,,9,,6,
10th Week 2018,Total,T,2394,,1195,,1199,
,Portugal,PT,2387,,1189,,1198,
,Foreigner,YY,7,,6,,1,
9th Week 2018,Total,T,2668,,1289,,1379,
,Portugal,PT,2656,,1282,,1374,
,Foreigner,YY,12,,7,,5,
8th Week 2018,Total,T,2785,,1401,,1384,
,Portugal,PT,2777,,1396,,1381,
,Foreigner,YY,8,,5,,3,
7th Week 2018,Total,T,2822,,1390,,1432,
,Portugal,PT,2815,,1385,,1430,
,Foreigner,YY,7,,5,,2,
6th Week 2018,Total,T,2791,,1405,,1386,
,Portugal,PT,2783,,1398,,1385,
,Foreigner,YY,8,,7,,1,
5th Week 2018,Total,T,2631,,1333,,1298,
,Portugal,PT,2619,,1323,,1296,
,Foreigner,YY,12,,10,,2,
4th Week 2018,Total,T,2700,,1354,,1346,
,Portugal,PT,2693,,1350,,1343,
,Foreigner,YY,7,,4,,3,
3rd Week 2018,Total,T,2816,,1356,,1460,
,Portugal,PT,2805,,1350,,1455,
,Foreigner,YY,11,,6,,5,
2nd Week 2018,Total,T,2810,,1425,,1385,
,Portugal,PT,2803,,1418,,1385,
,Foreigner,YY,7,,7,,0,
1st Week 2018,Total,T,2863,,1427,,1436,
,Portugal,PT,2851,,1419,,1432,
,Foreigner,YY,12,,8,,4,
"Deaths (No.) by Place of residence (NUTS - 2013), Sex and Age group; Weekly - Statistics Portugal, Deaths",,,,,,,,
,,,,,,,,
,,,,,,,,
Conventional signs:,,,,,,,,
//: Preliminary value,,,,,,,,
,,,,,,,,
"This data last updated:july 17, 2020",,,,,,,,
