Mes de defunción;Lugar de ocurrencia;Edad;año;Total
Enero;No consta;De 85 a 89 años;2019;420
Enero;No consta;De 85 a 89 años;2018;393
Enero;No consta;De 90 a 94 años;2019;309
Enero;No consta;De 90 a 94 años;2018;278
Enero;No consta;De  95 y más años;2019;114
Enero;No consta;De  95 y más años;2018;119
Enero;No consta;No consta;2019;..
Enero;No consta;No consta;2018;..
Febrero;Total;Total;2019;36.826
Febrero;Total;Total;2018;39.756
Febrero;Total;De 0 a 64 años;2019;4.667
Febrero;Total;De 0 a 64 años;2018;5.032
Febrero;Total;De 65 a 69 años;2019;2.026
Febrero;Total;De 65 a 69 años;2018;2.077
Febrero;Total;De 70 a 74 años;2019;2.842
Febrero;Total;De 70 a 74 años;2018;3.004
Febrero;Total;De  75 a 79 años;2019;3.537
Febrero;Total;De  75 a 79 años;2018;3.867
Febrero;Total;De 80 a 84 años;2019;5.848
Febrero;Total;De 80 a 84 años;2018;6.650
Febrero;Total;De 85 a 89 años;2019;8.153
Febrero;Total;De 85 a 89 años;2018;8.812
Febrero;Total;De 90 a 94 años;2019;6.609
Febrero;Total;De 90 a 94 años;2018;6.932
Febrero;Total;De  95 y más años;2019;3.144
Febrero;Total;De  95 y más años;2018;3.382
Febrero;Total;No consta;2019;..
Febrero;Total;No consta;2018;..
Febrero;Centro hospitalario;Total;2019;20.463
Febrero;Centro hospitalario;Total;2018;21.422
Febrero;Centro hospitalario;De 0 a 64 años;2019;2.802
Febrero;Centro hospitalario;De 0 a 64 años;2018;2.869
Febrero;Centro hospitalario;De 65 a 69 años;2019;1.277
Febrero;Centro hospitalario;De 65 a 69 años;2018;1.320
Febrero;Centro hospitalario;De 70 a 74 años;2019;1.834
Febrero;Centro hospitalario;De 70 a 74 años;2018;1.872
Febrero;Centro hospitalario;De  75 a 79 años;2019;2.202
Febrero;Centro hospitalario;De  75 a 79 años;2018;2.412
Febrero;Centro hospitalario;De 80 a 84 años;2019;3.527
Febrero;Centro hospitalario;De 80 a 84 años;2018;3.815
Febrero;Centro hospitalario;De 85 a 89 años;2019;4.498
Febrero;Centro hospitalario;De 85 a 89 años;2018;4.665
Febrero;Centro hospitalario;De 90 a 94 años;2019;3.165
Febrero;Centro hospitalario;De 90 a 94 años;2018;3.243
Febrero;Centro hospitalario;De  95 y más años;2019;1.158
Febrero;Centro hospitalario;De  95 y más años;2018;1.226
Febrero;Centro hospitalario;No consta;2019;..
Febrero;Centro hospitalario;No consta;2018;..
Febrero;Domicilio particular;Total;2019;9.098
Febrero;Domicilio particular;Total;2018;10.518
Febrero;Domicilio particular;De 0 a 64 años;2019;1.037
Febrero;Domicilio particular;De 0 a 64 años;2018;1.214
Febrero;Domicilio particular;De 65 a 69 años;2019;492
Febrero;Domicilio particular;De 65 a 69 años;2018;488
Febrero;Domicilio particular;De 70 a 74 años;2019;651
Febrero;Domicilio particular;De 70 a 74 años;2018;725
Febrero;Domicilio particular;De  75 a 79 años;2019;828
Febrero;Domicilio particular;De  75 a 79 años;2018;942
Febrero;Domicilio particular;De 80 a 84 años;2019;1.336
Febrero;Domicilio particular;De 80 a 84 años;2018;1.692
Febrero;Domicilio particular;De 85 a 89 años;2019;1.978
Febrero;Domicilio particular;De 85 a 89 años;2018;2.360
Febrero;Domicilio particular;De 90 a 94 años;2019;1.803
Febrero;Domicilio particular;De 90 a 94 años;2018;1.952
Febrero;Domicilio particular;De  95 y más años;2019;973
Febrero;Domicilio particular;De  95 y más años;2018;1.145
Febrero;Domicilio particular;No consta;2019;..
Febrero;Domicilio particular;No consta;2018;..
Febrero;Residencia socio-sanitaria;Total;2019;4.965
Febrero;Residencia socio-sanitaria;Total;2018;5.347
Febrero;Residencia socio-sanitaria;De 0 a 64 años;2019;127
Febrero;Residencia socio-sanitaria;De 0 a 64 años;2018;134
Febrero;Residencia socio-sanitaria;De 65 a 69 años;2019;101
Febrero;Residencia socio-sanitaria;De 65 a 69 años;2018;88
Febrero;Residencia socio-sanitaria;De 70 a 74 años;2019;172
Febrero;Residencia socio-sanitaria;De 70 a 74 años;2018;210
Febrero;Residencia socio-sanitaria;De  75 a 79 años;2019;288
Febrero;Residencia socio-sanitaria;De  75 a 79 años;2018;306
Febrero;Residencia socio-sanitaria;De 80 a 84 años;2019;714
Febrero;Residencia socio-sanitaria;De 80 a 84 años;2018;805
Febrero;Residencia socio-sanitaria;De 85 a 89 años;2019;1.309
Febrero;Residencia socio-sanitaria;De 85 a 89 años;2018;1.424
Febrero;Residencia socio-sanitaria;De 90 a 94 años;2019;1.365
Febrero;Residencia socio-sanitaria;De 90 a 94 años;2018;1.481
Febrero;Residencia socio-sanitaria;De  95 y más años;2019;889
Febrero;Residencia socio-sanitaria;De  95 y más años;2018;899
Febrero;Residencia socio-sanitaria;No consta;2019;..
Febrero;Residencia socio-sanitaria;No consta;2018;..
Febrero;Otro Lugar;Total;2019;313
Febrero;Otro Lugar;Total;2018;312
Febrero;Otro Lugar;De 0 a 64 años;2019;110
Febrero;Otro Lugar;De 0 a 64 años;2018;115
Febrero;Otro Lugar;De 65 a 69 años;2019;21
Febrero;Otro Lugar;De 65 a 69 años;2018;26
Febrero;Otro Lugar;De 70 a 74 años;2019;27
Febrero;Otro Lugar;De 70 a 74 años;2018;27
Febrero;Otro Lugar;De  75 a 79 años;2019;27
Febrero;Otro Lugar;De  75 a 79 años;2018;33
Febrero;Otro Lugar;De 80 a 84 años;2019;38
Febrero;Otro Lugar;De 80 a 84 años;2018;49
Febrero;Otro Lugar;De 85 a 89 años;2019;46
Febrero;Otro Lugar;De 85 a 89 años;2018;36
Febrero;Otro Lugar;De 90 a 94 años;2019;31
Febrero;Otro Lugar;De 90 a 94 años;2018;17
Febrero;Otro Lugar;De  95 y más años;2019;13
Febrero;Otro Lugar;De  95 y más años;2018;9
Febrero;Otro Lugar;No consta;2019;..
Febrero;Otro Lugar;No consta;2018;..
Febrero;No consta;Total;2019;1.987
Febrero;No consta;Total;2018;2.157
Febrero;No consta;De 0 a 64 años;2019;591
Febrero;No consta;De 0 a 64 años;2018;700
Febrero;No consta;De 65 a 69 años;2019;135
Febrero;No consta;De 65 a 69 años;2018;155
Febrero;No consta;De 70 a 74 años;2019;158
Febrero;No consta;De 70 a 74 años;2018;170
Febrero;No consta;De  75 a 79 años;2019;192
Febrero;No consta;De  75 a 79 años;2018;174
Febrero;No consta;De 80 a 84 años;2019;233
Febrero;No consta;De 80 a 84 años;2018;289
