Operación;Conceptos Demográficos;Periodo;Total
MNP Estadística de Nacimientos;Crecimiento vegetativo;2018;-54.944
MNP Estadística de Nacimientos;Crecimiento vegetativo;2017;-31.342
MNP Estadística de Nacimientos;Crecimiento vegetativo;2016;-28
MNP Estadística de Nacimientos;Crecimiento vegetativo;2015;-2.278
MNP Estadística de Nacimientos;Crecimiento vegetativo;2014;31.765
MNP Estadística de Nacimientos;Crecimiento vegetativo;2013;35.296
MNP Estadística de Nacimientos;Crecimiento vegetativo;2012;51.698
MNP Estadística de Nacimientos;Crecimiento vegetativo;2011;84.088
MNP Estadística de Nacimientos;Crecimiento vegetativo;2010;104.528
MNP Estadística de Nacimientos;Crecimiento vegetativo;2009;110.064
MNP Estadística de Nacimientos;Crecimiento vegetativo;2008;133.455
MNP Estadística de Nacimientos;Crecimiento vegetativo;2007;107.166
MNP Estadística de Nacimientos;Crecimiento vegetativo;2006;111.479
MNP Estadística de Nacimientos;Crecimiento vegetativo;2005;79.016
MNP Estadística de Nacimientos;Crecimiento vegetativo;2004;82.657
MNP Estadística de Nacimientos;Crecimiento vegetativo;2003;57.053
MNP Estadística de Nacimientos;Crecimiento vegetativo;2002;50.228
MNP Estadística de Nacimientos;Crecimiento vegetativo;2001;46.249
MNP Estadística de Nacimientos;Crecimiento vegetativo;2000;37.241
MNP Estadística de Nacimientos;Crecimiento vegetativo;1999;9.028
MNP Estadística de Nacimientos;Crecimiento vegetativo;1998;4.682
MNP Estadística de Nacimientos;Crecimiento vegetativo;1997;19.514
MNP Estadística de Nacimientos;Crecimiento vegetativo;1996;11.177
MNP Estadística de Nacimientos;Crecimiento vegetativo;1995;17.242
MNP Estadística de Nacimientos;Crecimiento vegetativo;1994;31.906
MNP Estadística de Nacimientos;Crecimiento vegetativo;1993;46.125
MNP Estadística de Nacimientos;Crecimiento vegetativo;1992;65.232
MNP Estadística de Nacimientos;Muertes fetales tardías;2018;1.174
MNP Estadística de Nacimientos;Muertes fetales tardías;2017;1.274
MNP Estadística de Nacimientos;Muertes fetales tardías;2016;1.331
MNP Estadística de Nacimientos;Muertes fetales tardías;2015;1.309
MNP Estadística de Nacimientos;Muertes fetales tardías;2014;1.347
MNP Estadística de Nacimientos;Muertes fetales tardías;2013;1.398
MNP Estadística de Nacimientos;Muertes fetales tardías;2012;1.483
MNP Estadística de Nacimientos;Muertes fetales tardías;2011;1.527
MNP Estadística de Nacimientos;Muertes fetales tardías;2010;1.501
MNP Estadística de Nacimientos;Muertes fetales tardías;2009;1.569
MNP Estadística de Nacimientos;Muertes fetales tardías;2008;1.602
MNP Estadística de Nacimientos;Muertes fetales tardías;2007;1.511
MNP Estadística de Nacimientos;Muertes fetales tardías;2006;1.612
MNP Estadística de Nacimientos;Muertes fetales tardías;2005;1.538
MNP Estadística de Nacimientos;Muertes fetales tardías;2004;1.438
